Academic license - for non-commercial use only
#states     factor     time-vi    time-2lp  
       125      -0.47    3.99893    0.01652
       125      -0.46    4.13629    0.01669
       125      -0.45    4.14055    0.01789
       125      -0.44    4.21230    0.01608
       125      -0.43    4.47152    0.01759
       125      -0.42    4.31997    0.01653
       125      -0.41    4.32968    0.02087
       125      -0.40    4.39044    0.01658
       125      -0.39    4.67671    0.01632
       125      -0.38    4.56848    0.01671
       125      -0.37    4.75968    0.01625
       125      -0.36    4.80638    0.01791
       125      -0.35    4.86556    0.01680
       125      -0.34    5.07064    0.01680
       125      -0.33    5.06173    0.01854
       125      -0.32    5.45769    0.01778
       125      -0.31    5.40968    0.01831
       125      -0.30    5.46350    0.01836
       125      -0.29    6.11186    0.01757
       125      -0.28    5.79580    0.01736
       125      -0.27    5.98494    0.01757
       125      -0.26    6.19444    0.01875
       125      -0.25    6.50012    0.01756
       125      -0.24    6.62729    0.01813
       125      -0.23    6.87686    0.01819
       125      -0.22    7.14214    0.01797
       125      -0.21    7.66650    0.01827
       125      -0.20    7.34684    0.01918
       125      -0.19    7.84256    0.01764
       125      -0.18    8.17063    0.01703
       125      -0.17    8.44984    0.01663
       125      -0.16    9.10910    0.01647
       125      -0.15    9.37623    0.01964
       125      -0.14    9.69626    0.01739
       125      -0.13   10.38572    0.02040
       125      -0.12   10.51220    0.01801
       125      -0.11   11.18220    0.01648
       125      -0.10   12.13417    0.01792
       125      -0.09   12.47040    0.01727
       125      -0.08   13.52848    0.01713
       125      -0.07   14.43184    0.01891
       125      -0.06   16.30952    0.01790
       125      -0.05   16.50057    0.01782
       125      -0.04   18.19182    0.01780
       125      -0.03   20.08114    0.01807
       125      -0.02   20.56793    0.01914
       125      -0.01   23.69070    0.01799
       125       0.00    6.04893    0.01907
       125       0.01   29.05259    0.01980
       125       0.02   32.50272    0.01900
       125       0.03   40.66987    0.01922
       125       0.04   52.31455    0.01753
       125       0.05   -1.00000    0.01868
       125       0.06   -1.00000    0.01835
       125       0.07   -1.00000    0.01824
       125       0.08   13.43503    0.01792
       125       0.09    9.15114    0.01905
       125       0.10    7.83947    0.01841
       125       0.11    7.24847    0.01761
       125       0.12    6.91828    0.01917
       125       0.13    6.58977    0.01687
       125       0.14    6.51098    0.01739
       125       0.15    6.39210    0.01773
       125       0.16    6.41703    0.01737
       125       0.17    6.45337    0.01782
       125       0.18    6.41869    0.01745
       125       0.19    4.81929    0.01672
       125       0.20    4.72095    0.01736
       125       0.21    4.87414    0.02094
       125       0.22    4.71896    0.02092
       125       0.23    4.71052    0.01900
       125       0.24    4.73941    0.01774
       125       0.25    4.68540    0.01693
       125       0.26    4.73207    0.01723
       125       0.27    4.68932    0.01756
       125       0.28    4.74777    0.01697
       125       0.29    4.70298    0.01781
       125       0.30    4.87747    0.02033
       125       0.31    4.92736    0.01761
       125       0.32    4.88536    0.01752
       125       0.33    4.84296    0.01851
       125       0.34    4.95242    0.02191
       125       0.35    5.02803    0.01673
       125       0.36    5.02087    0.01777
       125       0.37    5.04648    0.01774
       125       0.38    5.08269    0.01713
       125       0.39    5.29580    0.01760
       125       0.40    3.76804    0.01667
       125       0.41    3.74608    0.01855
       125       0.42    3.78885    0.01759
       125       0.43    3.74683    0.01654
       125       0.44    3.73347    0.01666
       125       0.45    3.69439    0.01683
       125       0.46    3.78930    0.01761
       125       0.47    3.78130    0.01676
       125       0.48    3.72368    0.01761
       125       0.49    3.65670    0.01698
       125       0.50    3.69934    0.01732
       125       0.51    3.66544    0.01707
       125       0.52    3.72809    0.01717
       125       0.53    3.67279    0.02166
       125       0.54    3.70273    0.01674
       125       0.55    3.70591    0.01748
       125       0.56    3.64723    0.01753
       125       0.57    3.64029    0.02166
       125       0.58    3.64294    0.01715
       125       0.59    3.67887    0.01819
       125       0.60    3.65505    0.01776
       125       0.61    3.63791    0.02096
       125       0.62    3.63832    0.01650
       125       0.63    3.67594    0.01804
       125       0.64    3.63909    0.01771
       125       0.65    3.57774    0.01839
       125       0.66    3.60860    0.01938
       125       0.67    3.62939    0.01707
       125       0.68    3.61972    0.01798
       125       0.69    3.55499    0.01704
       125       0.70    3.61501    0.01840
       125       0.71    3.57243    0.01683
       125       0.72    3.59678    0.02059
       125       0.73    3.56745    0.01693
       125       0.74    3.58590    0.01729
       125       0.75    3.59153    0.01743
       125       0.76    3.62050    0.01700
       125       0.77    3.58711    0.01798
       125       0.78    3.57868    0.01686
       125       0.79    3.55979    0.01721
       125       0.80    3.53688    0.01743
       125       0.81    3.54507    0.01774
       125       0.82    3.57911    0.01710
       125       0.83    3.56585    0.01633
       125       0.84    3.48861    0.01805
       125       0.85    3.57416    0.01692
       125       0.86    3.53478    0.01671
       125       0.87    3.51913    0.01695
       125       0.88    3.53677    0.01650
       125       0.89    3.57757    0.01880
       125       0.90    3.52987    0.01806
       125       0.91    3.56337    0.02074
       125       0.92    3.56153    0.01692
       125       0.93    3.58650    0.01624
       125       0.94    3.54331    0.01764
       125       0.95    3.55461    0.01638
       125       0.96    3.55277    0.01796
       125       0.97    3.53761    0.01685
       125       0.98    3.55244    0.01816
       125       0.99    3.50147   -1.00000
       125       1.00    3.52592    0.01670
       175      -0.99    5.85405    0.02255
       175      -0.98    5.87969    0.02263
       175      -0.97    5.79931    0.03775
       175      -0.96    5.81284    0.02301
       175      -0.95    5.80923    0.02882
       175      -0.94    5.71421    0.02316
       175      -0.93    5.85633    0.02570
       175      -0.92    6.16611    0.02284
       175      -0.91    5.99387    0.02285
       175      -0.90    6.28300    0.02336
       175      -0.89    5.92101    0.02332
       175      -0.88    6.05144    0.02473
       175      -0.87    6.16971    0.02276
       175      -0.86    6.07208    0.02243
       175      -0.85    6.14765    0.02562
       175      -0.84    6.28572    0.02403
       175      -0.83    6.25558    0.02289
       175      -0.82    6.47415    0.02461
       175      -0.81    6.36806    0.02354
       175      -0.80    6.28688    0.02302
       175      -0.79    6.41180    0.02311
       175      -0.78    6.31108    0.02332
       175      -0.77    6.34489    0.02378
       175      -0.76    6.49405    0.02866
       175      -0.75    6.48948    0.02312
       175      -0.74    6.71308    0.02379
       175      -0.73    6.78037    0.02347
       175      -0.72    6.63980    0.02718
       175      -0.71    7.06306    0.02452
       175      -0.70    6.75075    0.02462
       175      -0.69    6.92334    0.02375
       175      -0.68    7.01497    0.02335
       175      -0.67    6.89190    0.02381
       175      -0.66    6.95994    0.02344
       175      -0.65    7.02762    0.02414
       175      -0.64    7.21850    0.02353
       175      -0.63    7.32188    0.02638
       175      -0.62    7.85305    0.02396
       175      -0.61    7.40128    0.02411
       175      -0.60    7.33217    0.02255
       175      -0.59    7.36498    0.02355
       175      -0.58    7.44900    0.02438
       175      -0.57    7.49307    0.02828
       175      -0.56    7.83477    0.02321
       175      -0.55    7.53737    0.02335
       175      -0.54    8.00087    0.02342
       175      -0.53    7.82422    0.02548
       175      -0.52    8.01425    0.02436
       175      -0.51    7.94876    0.02384
       175      -0.50    8.24550    0.02419
       175      -0.49    8.30891    0.02433
       175      -0.48    8.33527    0.02490
       175      -0.47    8.69427    0.02344
       175      -0.46    8.88687    0.02446
       175      -0.45    8.70617    0.02432
       175      -0.44    9.01651    0.02380
       175      -0.43    8.94738    0.02487
       175      -0.42    8.83880    0.02366
       175      -0.41    8.85848    0.02317
       175      -0.40    9.20345    0.02480
       175      -0.39    9.60819    0.02660
       175      -0.38    9.73582    0.03247
       175      -0.37    9.65433    0.02423
       175      -0.36    9.97824    0.02631
       175      -0.35   10.17965    0.02484
       175      -0.34   10.23767    0.02407
       175      -0.33   10.89304    0.02463
       175      -0.32   10.85486    0.02745
       175      -0.31   10.92769    0.02502
       175      -0.30   11.49717    0.02463
       175      -0.29   11.97362    0.02671
       175      -0.28   12.37836    0.02569
       175      -0.27   12.10311    0.02623
       175      -0.26   12.49980    0.02624
       175      -0.25   12.75906    0.02689
       175      -0.24   12.98936    0.02649
       175      -0.23   13.64763    0.03040
       175      -0.22   14.20336    0.02723
       175      -0.21   15.12905    0.02731
       175      -0.20   14.69463    0.02725
       175      -0.19   15.61090    0.03358
       175      -0.18   16.25391    0.02383
       175      -0.17   16.92436    0.02354
       175      -0.16   17.98239    0.02389
       175      -0.15   18.44348    0.02427
       175      -0.14   19.21428    0.02392
       175      -0.13   20.56654    0.02380
       175      -0.12   20.79716    0.02422
       175      -0.11   21.79682    0.02544
       175      -0.10   23.74884    0.02364
       175      -0.09   24.48149    0.02492
       175      -0.08   26.63399    0.02718
       175      -0.07   28.49018    0.02459
       175      -0.06   32.03727    0.02528
       175      -0.05   32.41416    0.02575
       175      -0.04   36.21817    0.02560
       175      -0.03   39.63525    0.02551
       175      -0.02   41.91322    0.02650
       175      -0.01   46.92683    0.02715
       175       0.00   14.10106    0.02765
       175       0.01   57.77202    0.02833
       175       0.02   -1.00000    0.02920
       175       0.03   -1.00000    0.02865
       175       0.04   -1.00000    0.02691
       175       0.05   -1.00000    0.02683
       175       0.06   -1.00000    0.02790
       175       0.07   -1.00000    0.02659
       175       0.08   -1.00000    0.02726
       175       0.09   -1.00000    0.02513
       175       0.10   29.43231    0.02564
       175       0.11   22.47196    0.02693
       175       0.12   19.65505    0.02942
       175       0.13   18.09852    0.02934
       175       0.14   17.18665    0.02686
       175       0.15   16.27783    0.02612
       175       0.16   15.91967    0.02558
       175       0.17   15.74385    0.02566
       175       0.18   15.31445    0.02617
       175       0.19   12.89991    0.03235
       175       0.20   12.61073    0.02635
       175       0.21   12.41548    0.02568
       175       0.22   12.10071    0.02586
       175       0.23   12.09805    0.02902
       175       0.24   11.88586    0.02740
       175       0.25   11.70362    0.02661
       175       0.26   11.68443    0.02658
       175       0.27   11.48782    0.02622
       175       0.28   11.55385    0.02506
       175       0.29   11.60663    0.02703
       175       0.30   11.57203    0.02574
       175       0.31   11.44398    0.02581
       175       0.32   11.47594    0.02917
       175       0.33   11.58874    0.02573
       175       0.34   11.49476    0.02587
       175       0.35   11.56932    0.02494
       175       0.36   11.67502    0.02580
       175       0.37   11.67932    0.05177
       175       0.38   11.70389    0.03019
       175       0.39   11.75862    0.02549
       175       0.40   10.44527    0.02557
       175       0.41   10.44378    0.02488
       175       0.42   10.44886    0.02539
       175       0.43   10.47778    0.02588
       175       0.44   10.29148    0.02583
       175       0.45   10.27179    0.02607
       175       0.46   10.39811    0.02398
       175       0.47   10.27696    0.02572
       175       0.48   10.24286    0.02544
       175       0.49   10.22083    0.02489
       175       0.50   10.12351    0.02558
       175       0.51   10.22181    0.02482
       175       0.52   10.21875    0.02719
       175       0.53   10.26491    0.02675
       175       0.54   10.06640    0.02553
       175       0.55   10.09177    0.02555
       175       0.56   10.03884    0.02605
       175       0.57   10.14013    0.02934
       175       0.58   10.00389    0.02606
       175       0.59    9.99422    0.02610
       175       0.60    9.99176    0.02758
       175       0.61    9.97785    0.03668
       175       0.62   10.05328    0.02593
       175       0.63   10.07299    0.03901
       175       0.64    9.87046    0.02754
       175       0.65    9.92235    0.02438
       175       0.66    9.94988    0.02511
       175       0.67    9.94969    0.02685
       175       0.68    9.88359    0.04025
       175       0.69    9.93768    0.02628
       175       0.70   10.03339    0.02894
       175       0.71    9.76294    0.03972
       175       0.72    9.85314    0.03869
       175       0.73    9.88931    0.02519
       175       0.74    9.81178    0.02700
       175       0.75    9.84556    0.03577
       175       0.76    9.77615    0.03204
       175       0.77    9.89179    0.03291
       175       0.78    9.79237    0.03224
       175       0.79    9.67438    0.02647
       175       0.80    9.64977    0.03358
       175       0.81    9.69345    0.02812
       175       0.82    9.75226    0.02561
       175       0.83    9.76276    0.02536
       175       0.84    9.64121    0.02661
       175       0.85    9.69064    0.03323
       175       0.86    9.78370    0.02666
       175       0.87    9.67985    0.02579
       175       0.88    9.76160    0.02574
       175       0.89    9.72499    0.02615
       175       0.90    9.64796    0.02794
       175       0.91    9.67306    0.02761
